country,ISO,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,COUNTRYDATA,PR,CL,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEIIndexp,PEIIndexi,rating,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,important,ORGCONFIDENCE,courts,government,parliament,armedforces,electoralauth,ROTATING,bribed,bribed2,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,PEItype
Equatorial Guinea,GNQ,Rest,2013,Rest,Rest,2016,2017,Rest,Rest,Rest,Rest,2022,,7,7,3,24524,1,West Africa,0,,18,22,2,,5,1,5,1,4,2,16,12,,2,2,1,2,22,19,,4,2,4,2,2,30,29,,4,2,4,2,4,2,23,25,,4,2,2,2,4,2,5,1,23,21,,1,5,1,1,1,2,16,12,,2,1,1,4,2,5,1,16,12,,4,2,4,2,3,1,2,2,2,2,22,24,,2,3,2,4,2,4,2,29,26,,3,3,3,3,2,4,2,50,50,,1,2,1,2,18,15,,2,,2,1,2,2,2,,4,2,2,5,1,2,1,4,2,4,2,2,3,2,2,4,2,,,,,,,,,,,,,,,Very Low
Greece,GRC,Rest,Rest,Rest,2015,Rest,Rest,Rest,2019,Rest,Rest,Rest,,2,2,4,27691,4,Europe,1,,66,66,9,,3,3,4,2,2,4,56,49,,4,5,5,5,90,88,,3,3,2,4,3,66,58,,2,4,3,3,2,4,69,73,,2,4,4,3,4,2,2,4,71,65,,3,3,3,3,3,3,56,50,,3,2,2,3,3,3,3,48,42,,1,5,1,5,4,4,2,2,1,1,56,62,,4,4,4,2,4,2,4,86,86,,1,5,2,4,1,5,4,90,87,,4,4,4,4,77,76,,3,,6,4,5,5,8,,2,4,,,,,,,,,,,,,,3,3,3,3,3,2,4,4,2,4,3,2,4,2,4,2,High
Grenada,GRD,Rest,2013,Rest,Rest,Rest,Rest,2018,Rest,Rest,Rest,2022,,1,2,3,13429,2,Americas,0,,,63,7,,3,3,3,3,2,4,64,56,,4,4,4,4,79,77,,3,3,3,3,3,60,55,,4,2,3,3,3,3,50,51,,1,5,4,4,3,3,2,4,72,76,,3,3,3,3,3,3,46,49,,2,2,2,3,3,4,2,28,35,,2,4,3,3,4,4,2,3,4,1,58,57,,4,5,4,1,5,2,5,84,89,,2,4,2,4,1,5,4,90,81,,3,4,4,4,75,72,,2,,7,5,5,5,6,,5,2,,,,,,,,,,,,,,2,4,2,4,4,3,3,3,2,4,3,3,4,2,3,3,High
Guatemala,GTM,Rest,Rest,Rest,2015,Rest,Rest,Rest,2019,Rest,Rest,Rest,,4,4,3,8601,2,Americas,0,,46,49,5,,3,3,3,3,3,3,55,49,,3,3,3,3,54,52,,3,4,2,4,4,66,60,,4,3,3,3,3,3,50,51,,4,2,2,2,4,2,3,3,37,34,,3,3,3,2,3,3,50,52,,3,2,2,4,2,4,2,35,30,,3,3,3,3,3,3,2,3,3,2,48,40,,4,4,4,2,4,2,4,71,69,,3,3,3,3,2,4,3,63,59,,3,3,3,3,56,56,,1,,3,2,2,2,5,,4,2,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,3,4,2,3,3,3,3,3,Low
Guyana,GUY,Rest,Rest,Rest,2015,Rest,Rest,Rest,Rest,2020,Rest,Rest,,2,3,3,13612,2,Americas,0,,,48,6,,4,2,4,2,3,3,47,39,,3,4,4,4,64,64,,3,3,3,3,3,52,52,,3,3,3,3,3,3,56,51,,2,4,3,3,4,2,2,4,69,58,,3,3,3,3,3,4,58,48,,2,2,2,3,3,3,3,45,31,,3,3,4,2,4,4,1,1,4,2,46,44,,3,1,3,2,4,2,4,56,53,,5,1,3,3,3,3,3,44,38,,3,4,3,3,51,55,,2,,5,5,5,6,5,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low
Honduras,HND,Rest,2013,Rest,Rest,Rest,2017,Rest,Rest,Rest,2021,Rest,,4,4,2,5039,2,Americas,0,,27,42,5,,4,2,4,2,4,2,32,28,,3,3,2,3,45,41,,4,3,3,3,3,39,48,,3,3,3,3,4,2,43,39,,3,3,3,3,3,3,3,3,56,52,,2,4,2,2,3,4,44,40,,2,2,2,4,2,4,2,27,23,,4,2,4,2,3,4,3,3,4,2,43,43,,3,3,3,2,4,3,3,57,53,,4,2,3,3,3,3,3,50,45,,2,3,3,2,47,41,,1,,3,3,3,3,4,,4,2,,,,3,,,,,,4,2,2,2,3,3,,,,,,,,,,,,,,,Low
Croatia,HRV,Rest,Rest,Rest,2015,2016,Rest,Rest,Rest,2020,Rest,Rest,,1,2,4,25227,4,Eastern Europe & Central Asia,0,,64,65,8,,3,3,2,4,2,4,70,67,,4,4,4,4,80,78,,3,3,3,3,3,53,53,,3,3,3,3,3,3,54,48,,1,5,4,4,4,2,2,4,67,66,,3,3,3,3,3,3,55,51,,3,3,3,2,4,3,3,59,55,,2,4,2,4,4,4,3,3,4,1,65,63,,4,4,4,1,5,2,4,89,81,,2,4,1,5,1,5,4,89,83,,4,4,4,4,72,70,,2,,4,5,5,5,7,,2,4,4,2,4,4,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,High
Haiti,HTI,Rest,Rest,Rest,2015,2016,Rest,Rest,Rest,Rest,Rest,Rest,,5,5,1,1771,2,Americas,0,,40,32,3,,3,3,4,2,3,3,48,41,,2,2,2,2,35,26,,3,3,3,3,2,47,46,,4,2,4,2,4,2,29,23,,3,3,2,3,4,2,3,3,51,38,,3,4,3,3,3,4,60,52,,2,2,1,5,1,4,2,26,17,,4,2,5,1,2,3,2,2,2,1,31,21,,2,2,2,2,4,2,4,46,38,,5,1,4,2,4,2,2,32,24,,2,3,2,2,38,30,,1,,2,2,3,2,3,,4,2,3,4,2,3,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,Very Low
Hungary,HUN,Rest,Rest,2014,Rest,Rest,Rest,2018,Rest,Rest,Rest,2022,,3,2,4,29675,4,Eastern Europe & Central Asia,1,,43,53,5,,4,2,5,1,3,3,37,28,,3,4,3,4,68,67,,4,2,4,2,2,27,35,,2,4,3,3,3,3,68,64,,2,4,3,3,4,2,2,4,60,59,,2,4,2,1,2,3,31,26,,3,2,2,3,3,5,1,33,32,,1,5,3,3,4,4,3,4,4,1,62,63,,4,4,4,2,4,2,4,77,74,,3,3,3,3,1,5,4,70,67,,3,4,3,3,56,54,,2,,6,3,3,5,5,,3,3,,,,,,,,,,,,,,4,2,4,2,2,3,3,3,2,4,2,2,4,2,3,3,Moderate
Indonesia,IDN,Rest,Rest,2014,Rest,Rest,Rest,Rest,2019,Rest,Rest,Rest,,2,4,2,11128,3,East Asia & Oceania,0,,56,57,7,,3,3,3,3,2,4,59,54,,4,4,4,4,72,67,,2,4,2,4,3,68,62,,3,3,3,3,3,3,53,45,,2,4,4,4,3,3,2,4,69,64,,2,3,3,3,3,4,57,51,,3,3,2,4,2,4,2,46,38,,3,3,3,3,4,4,4,3,4,2,62,57,,4,4,4,2,4,2,4,72,68,,4,2,3,3,3,3,4,58,52,,4,4,4,4,74,70,,2,,4,6,4,5,6,,3,3,,,,,,,,,,,,,,3,3,5,2,4,3,3,4,4,3,3,3,4,3,4,2,Moderate
